"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
NaN,NaN,NaN,0.0,19.954545454545453,1.9090909090909087,1.0,0.0,2.0,180.0,1831506905
NaN,NaN,NaN,0.0,20.8695652173913,1.9130434782608692,1.0,0.0,2.0,181.0,1831506905
NaN,NaN,NaN,0.0,20.000000000000004,1.8333333333333328,1.0,0.0,2.0,182.0,1831506905
NaN,NaN,NaN,0.0,20.919999999999998,1.8399999999999996,1.0,0.0,2.0,183.0,1831506905
NaN,NaN,NaN,0.0,23.48,1.9199999999999997,1.0,0.0,2.0,184.0,1831506905
NaN,NaN,NaN,0.0,22.720000000000002,1.9199999999999997,1.0,0.0,2.0,185.0,1831506905
NaN,NaN,NaN,0.0,21.846153846153843,1.8461538461538456,1.0,0.0,2.0,186.0,1831506905
NaN,NaN,NaN,0.0,23.65384615384615,1.923076923076923,1.0,0.0,2.0,187.0,1831506905
NaN,NaN,NaN,0.0,23.961538461538463,1.923076923076923,1.0,0.0,2.0,188.0,1831506905
NaN,NaN,NaN,0.0,24.592592592592595,1.9259259259259258,1.0,0.0,2.0,189.0,1831506905
NaN,NaN,NaN,0.0,24.592592592592595,1.9259259259259258,1.0,0.0,2.0,190.0,1831506905
NaN,NaN,NaN,0.0,24.592592592592595,1.9259259259259258,1.0,0.0,2.0,191.0,1831506905
NaN,NaN,NaN,0.0,23.153846153846153,1.8461538461538456,1.0,0.0,2.0,192.0,1831506905
NaN,NaN,NaN,0.0,24.592592592592595,1.9259259259259258,1.0,0.0,2.0,193.0,1831506905
NaN,NaN,NaN,0.0,24.592592592592595,1.9259259259259258,1.0,0.0,2.0,194.0,1831506905
NaN,NaN,NaN,0.0,23.55555555555556,1.8518518518518514,1.0,0.0,2.0,195.0,1831506905
NaN,NaN,NaN,0.0,23.714285714285708,1.8571428571428568,1.0,0.0,2.0,196.0,1831506905
NaN,NaN,NaN,0.0,26.689655172413794,1.9310344827586206,1.0,0.0,2.0,197.0,1831506905
NaN,NaN,NaN,0.0,25.413793103448274,1.8620689655172413,1.0,0.0,2.0,198.0,1831506905
NaN,NaN,NaN,0.0,25.230769230769234,1.923076923076923,1.0,0.0,2.0,199.0,1831506905
NaN,NaN,NaN,0.0,23.000000000000004,1.8518518518518514,1.0,0.0,2.0,200.0,1831506905
NaN,NaN,NaN,0.0,23.851851851851848,1.8518518518518516,1.0,0.0,2.0,201.0,1831506905
NaN,NaN,NaN,0.0,24.814814814814813,1.9259259259259258,1.0,0.0,2.0,202.0,1831506905
NaN,NaN,NaN,0.0,24.34615384615385,1.923076923076923,1.0,0.0,2.0,203.0,1831506905
NaN,NaN,NaN,0.0,22.153846153846153,1.8461538461538458,1.0,0.0,2.0,204.0,1831506905
NaN,NaN,NaN,0.0,23.884615384615383,1.923076923076923,1.0,0.0,2.0,205.0,1831506905
NaN,NaN,NaN,0.0,22.307692307692314,1.8461538461538458,1.0,0.0,2.0,206.0,1831506905
NaN,NaN,NaN,0.0,23.884615384615383,1.923076923076923,1.0,0.0,2.0,207.0,1831506905
NaN,NaN,NaN,0.0,23.125000000000004,1.9166666666666665,1.0,0.0,2.0,208.0,1831506905
NaN,NaN,NaN,0.0,21.16,1.8399999999999999,1.0,0.0,2.0,209.0,1831506905
NaN,NaN,NaN,0.0,22.84,1.92,1.0,0.0,2.0,210.0,1831506905
NaN,NaN,NaN,0.0,23.76923076923077,1.923076923076923,1.0,0.0,2.0,211.0,1831506905
NaN,NaN,NaN,0.0,22.888888888888886,1.8518518518518516,1.0,0.0,2.0,212.0,1831506905
NaN,NaN,NaN,0.0,25.64285714285714,1.9285714285714284,1.0,0.0,2.0,213.0,1831506905
NaN,NaN,NaN,0.0,26.321428571428573,1.9285714285714284,1.0,0.0,2.0,214.0,1831506905
NaN,NaN,NaN,0.0,24.75862068965517,1.8620689655172413,1.0,0.0,2.0,215.0,1831506905
NaN,NaN,NaN,0.0,26.58620689655173,1.9310344827586206,1.0,0.0,2.0,216.0,1831506905
NaN,NaN,NaN,0.0,25.700000000000003,1.8666666666666665,1.0,0.0,2.0,217.0,1831506905
NaN,NaN,NaN,0.0,25.766666666666666,1.8666666666666665,1.0,0.0,2.0,218.0,1831506905
NaN,NaN,NaN,0.0,28.483870967741936,1.9354838709677418,1.0,0.0,2.0,219.0,1831506905
NaN,NaN,NaN,0.0,29.064516129032263,1.9354838709677418,1.0,0.0,2.0,220.0,1831506905
NaN,NaN,NaN,0.0,28.806451612903228,1.9354838709677418,1.0,0.0,2.0,221.0,1831506905
NaN,NaN,NaN,0.0,28.806451612903228,1.9354838709677418,1.0,0.0,2.0,222.0,1831506905
NaN,NaN,NaN,0.0,27.906250000000004,1.8749999999999998,1.0,0.0,2.0,223.0,1831506905
NaN,NaN,NaN,0.0,30.687500000000007,1.9374999999999998,1.0,0.0,2.0,224.0,1831506905
NaN,NaN,NaN,0.0,29.750000000000004,1.9374999999999998,1.0,0.0,2.0,225.0,1831506905
NaN,NaN,NaN,0.0,29.060606060606062,1.878787878787879,1.0,0.0,2.0,226.0,1831506905
NaN,NaN,NaN,0.0,31.727272727272723,1.9393939393939392,1.0,0.0,2.0,227.0,1831506905
NaN,NaN,NaN,0.0,29.612903225806452,1.9354838709677418,1.0,0.0,2.0,228.0,1831506905
NaN,NaN,NaN,0.0,29.03225806451613,1.9354838709677418,1.0,0.0,2.0,229.0,1831506905
NaN,NaN,NaN,0.0,29.03225806451613,1.9354838709677418,1.0,0.0,2.0,230.0,1831506905
NaN,NaN,NaN,0.0,28.344827586206897,1.9310344827586206,1.0,0.0,2.0,231.0,1831506905
NaN,NaN,NaN,0.0,28.1,1.9333333333333331,1.0,0.0,2.0,232.0,1831506905
NaN,NaN,NaN,0.0,26.93333333333333,1.8666666666666667,1.0,0.0,2.0,233.0,1831506905
NaN,NaN,NaN,0.0,27.48275862068966,1.9310344827586206,1.0,0.0,2.0,234.0,1831506905
NaN,NaN,NaN,0.0,27.172413793103452,1.9310344827586206,1.0,0.0,2.0,235.0,1831506905
NaN,NaN,NaN,0.0,26.26666666666667,1.8666666666666667,1.0,0.0,2.0,236.0,1831506905
NaN,NaN,NaN,0.0,27.89655172413793,1.9310344827586206,1.0,0.0,2.0,237.0,1831506905
