"total size","ECM","fibers","necrosis","tick"
13049.0,3917.0,9132.0,0.0,527.0
13050.0,3916.0,9134.0,0.0,528.0
13050.0,3916.0,9134.0,0.0,529.0
13063.0,3926.0,9137.0,0.0,530.0
13062.0,3926.0,9136.0,0.0,531.0
13066.0,3930.0,9136.0,0.0,532.0
13069.0,3936.0,9133.0,0.0,533.0
13068.0,3937.0,9131.0,0.0,534.0
13069.0,3935.0,9134.0,0.0,535.0
13069.0,3932.0,9137.0,0.0,536.0
13069.0,3939.0,9130.0,0.0,537.0
13071.0,3939.0,9132.0,0.0,538.0
13071.0,3942.0,9129.0,0.0,539.0
13075.0,3939.0,9136.0,0.0,540.0
13076.0,3934.0,9142.0,0.0,541.0
13086.0,3931.0,9155.0,0.0,542.0
13087.0,3935.0,9152.0,0.0,543.0
13090.0,3941.0,9149.0,0.0,544.0
13091.0,3947.0,9144.0,0.0,545.0
13091.0,3941.0,9150.0,0.0,546.0
13095.0,3937.0,9158.0,0.0,547.0
13096.0,3942.0,9154.0,0.0,548.0
13098.0,3945.0,9153.0,0.0,549.0
13100.0,3946.0,9154.0,0.0,550.0
13101.0,3946.0,9155.0,0.0,551.0
13104.0,3945.0,9159.0,0.0,552.0
13105.0,3944.0,9161.0,0.0,553.0
13124.0,3957.0,9167.0,0.0,554.0
13125.0,3960.0,9165.0,0.0,555.0
13125.0,3959.0,9166.0,0.0,556.0
13125.0,3956.0,9169.0,0.0,557.0
13125.0,3959.0,9166.0,0.0,558.0
13126.0,3958.0,9168.0,0.0,559.0
13127.0,3957.0,9170.0,0.0,560.0
13127.0,3959.0,9168.0,0.0,561.0
13127.0,3955.0,9172.0,0.0,562.0
13129.0,3952.0,9177.0,0.0,563.0
13130.0,3955.0,9175.0,0.0,564.0
13133.0,3958.0,9175.0,0.0,565.0
13134.0,3953.0,9181.0,0.0,566.0
13135.0,3950.0,9185.0,0.0,567.0
13138.0,3949.0,9189.0,0.0,568.0
13138.0,3955.0,9183.0,0.0,569.0
